ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display,estimated_non_christians,estimated_non_christian_pct,estimated_non_christian_string,radius_freq,estimated_total_visits,no_withdrawn,pct_other,url
401-0885,Tonagh Primary School,Controlled,229.0,BT281DQ,54.510269,-6.055278,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,182,47,139,151.32745950421557,175,23,31 (13.5%),Child Evangelism Fellowship: <1/month<br>Equipping for Life: 1-3/month<br>Free Presbyterian Mission Board: <1/month<br>Scripture Union: <1/month,28,0.1222707423580786,26-32 (12.2%),150.72374779232624,19.0,5 or fewer,13.5%,https://www.whatdotheyknow.com/r/1260f727-bab6-43d2-97ea-207db903e5b1
401-1265,Ballyvester Primary School,Controlled,109.0,BT210NF,54.624764,-5.561653,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,192,59,129,104.40306508910552,42,6,61 (56.0%),"Church of Ireland, Donaghadee: <1/month<br>First Presbyterian Church, Donaghadee: <1/month<br>Methodist Church, Donaghadee: <1/month<br>Scrabo Hall (Newtownards): <1/month<br>Shore Street Presbyterian Church, Donaghadee: <1/month",46,0.4220183486238532,45-48 (42.2%),150.53347756436472,18.0,5 or fewer,56.0%,https://www.whatdotheyknow.com/r/a54327c9-2932-43ea-85d2-e2e2d40e2978
401-1300,Grey Abbey Primary School,Controlled,78.0,BT222QA,54.534315,-5.560855,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,196,63,126,88.31760866327848,41,0,37 (47.4%),Cardy Gospel Hall: <1/month<br>Child Evangelism Fellowship: <1/month<br>Free Presbyterian Mission Board: <1/month<br>St Saviour's Church of Ireland: <1/month<br>Trinity Presbyterian: <1/month,30,0.3846153846153846,29-32 (38.5%),146.01597326730746,17.0,5 or fewer,47.4%,https://www.whatdotheyknow.com/r/0e0091f2-204d-4e07-9b27-d30539b50068
401-1310,Carrickmannon Primary School,Controlled,87.0,BT236JJ,54.481438,-5.779138,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,199,66,123,93.27379053088816,64,0-4,19-23 (24.1%),Ballygowan Free Presbyterian Church: 8 visits<br>Ballygowan Presbyterian Church: 8 visits<br>Jim Patterson Ministries: 8 visits<br>Moneyrea Community Church: 8 visits,16,0.1839080459770115,14-20 (18.4%),159.79984591670362,32.0,Zero,24.1%,https://www.whatdotheyknow.com/r/f7960a8e-1761-4a74-853b-0f0a53edf5a2
401-1345,Newtownards Model Primary School,Controlled,386.0,BT234NW,54.590302,-5.709097,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,235,118,84,196.468827043885,215,12,159 (41.2%),"1st Ards Presbyterian, Newtownards: <1/month<br>Ards Baptist, Newtownards: <1/month<br>Dundonald Elim Church, Dundonald: <1/month<br>Other Christian Charities: <1/month<br>Regent Street Methodist Church, Newtownards: <1/month<br>Scrabo Hall Church, Newtownards: <1/month<br>Scripture Union: <1/month<br>St. Mark's Church of Ireland, Newtownards: <1/month<br>Stand By Me: <1/month",122,0.3160621761658031,122 (31.6%),214.2096368433023,30.0,Zero,41.2%,https://www.whatdotheyknow.com/r/1372456b-49f5-45de-a602-452ffa15a4ac
401-1373,Kirkistown Primary School,Controlled,57.0,BT221JA,54.438402,-5.470164,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,229,107,92,75.4983443527075,23,0,34 (59.6%),Cardy Gospel Hall: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Trinity Presbyterian Cloughey: 1-3/month,19,0.3333333333333333,19 (33.3%),174.71252290563623,30.0,5 or fewer,59.6%,https://www.whatdotheyknow.com/r/47eb4763-8d44-47d2-bce2-abf6d06e117b
401-1462,Castle Gardens Primary School,Controlled,343.0,BT238SH,54.58927,-5.675735,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,249,154,60,185.20259177452127,175,11,157 (45.8%),Movilla Abbey: 1-3/month<br>Movilla Presbyterian: 1-3/month<br>Scrabo Hall: 1-3/month<br>Scripture Union: 1-3/month,135,0.3935860058309038,135 (39.4%),224.3881694948549,39.0,5 or fewer,45.8%,https://www.whatdotheyknow.com/r/7d69011e-2447-4ff2-bc7f-61267322dd8c
401-1488,Victoria Primary School (Ballyhalbert),Controlled,119.0,BT221DQ,54.491214,-5.466748,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,190,56,131,109.08712114635712,66,0,53 (44.5%),Bangor Free Presbyterian: <1/month<br>Cardy Gospel Hall: <1/month<br>Glastry Methodist Church: <1/month<br>Glastry Presbyterian Church: <1/month,44,0.3697478991596639,43-46 (37.0%),147.77955399362415,14.0,Zero,44.5%,https://www.whatdotheyknow.com/r/45bf404d-70b6-4812-85a9-cf8cba52ccd1
401-1507,Portavogie Primary School,Controlled,231.0,BT221EE,54.456661,-5.446211,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,236,119,84,151.98684153570665,175,0-4,52-56 (23.4%),"Cardy Hall, Carrowdore: twice per term<br>Free Presbyterian Church of Ireland, Portavogie: monthly<br>Free Presbyterian Kids: twice monthly<br>Jim Patterson Ministries: twice per term<br>Methodist, Glastry: termly",42,0.1818181818181818,40-46 (18.2%),206.3632614803888,42.0,Zero,23.4%,https://www.whatdotheyknow.com/r/df0d99d1-9460-43d8-a13d-1dc6016a34e6
401-1566,Ballywalter Primary School,Controlled,161.0,BT222NT,54.545489,-5.489073,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,253,178,47,126.8857754044952,67-71,0-4,90 (55.9%),Ballyhalbert Gospel Hall: <1/month<br>Ballywalter Presbyterian Church: 1-3/month<br>Cardy Gospel Hall: 1-3/month<br>Child Evangelism Fellowship: <1/month<br>Holy Trinity – Church of Ireland: 1-3/month<br>Patterson Ministeries Re Dundonald Elim Church: <1/month<br>Scrabo Hall – Christian Evangelical Church: <1/month,66,0.4099378881987577,66 (41.0%),213.53668376026164,45.0,5 or fewer,55.9%,https://www.whatdotheyknow.com/r/60b10130-8e1e-4e50-8e4e-cf6ef32600ec
401-1567,Ballynahinch Primary School,Controlled,235.0,BT248BB,54.399625,-5.905841,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,239,248,33,153.29709716755892,151,9,75 (31.9%),"Ballynahinch Baptist: weekly<br>Ballynahinch Congregational Church: weekly<br>Edengrove Presbyterian Church: weekly<br>First Church, Ballynahinch: weekly",60,0.2553191489361702,60 (25.5%),259.4794108411472,129.0,5 or fewer,31.9%,https://www.whatdotheyknow.com/r/e78f3ecc-39d5-4dd2-b8fc-e403a817f3ab
401-1578,Derryboy Primary School,Controlled,63.0,BT309LY,54.438527,-5.731501,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,188,54,133,79.37253933193772,53,0,10 (15.9%),Ballygowan Free Presbyterian Church: <1/month<br>Carryduff Presbyterian Church: <1/month<br>Church of Ireland – Youth Worker: <1/month<br>Down Cathedral Church of Ireland: <1/month<br>Free Presbyterian Church Youth Worker: <1/month<br>Hope for Youth Ministries: <1/month<br>Killinchy & Kilmood Church of Ireland: <1/month<br>Killyleagh Baptist Church: <1/month<br>Kilmore Presbyterian Church: <1/month<br>Raffrey Presbyterian Church: <1/month,7,0.1111111111111111,6-9 (11.1%),155.32322283143515,34.0,5 or fewer,15.9%,https://www.whatdotheyknow.com/r/e998cdd2-479d-49b9-9eb8-f42bafd506b0
401-1584,Carr Primary School,Controlled,79.0,BT276TB,54.499381,-5.933577,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,248,221,36,88.88194417315589,28-32,0-4,47 (59.5%),Carr Baptist: <1/month<br>Carryduff Baptist: <1/month<br>Carryduff Free Presbyterian: <1/month<br>Carryduff Presbyterian: <1/month<br>Child Evangelism Fellowship: weekly,30,0.379746835443038,30 (38.0%),219.91251154211963,45.0,Zero,59.5%,https://www.whatdotheyknow.com/r/42435bcf-7561-4383-9e4b-c13727ef88d1
401-1587,Dundonald Primary School,Controlled,852.0,BT162LP,54.593022,-5.804927,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,248,150,63,291.89039038652845,419,48,385 (45.2%),Belfast City Mission: <1/month<br>Dundonald Baptist Church: <1/month<br>Dundonald Presbyterian Church: <1/month<br>Dundonald St. Elizabeths: <1/month<br>Scripture Union: <1/month,280,0.3286384976525822,280 (32.9%),276.95631940562095,15.0,5 or fewer,45.2%,https://www.whatdotheyknow.com/r/6c2b3cad-71cd-4787-922a-25b592d6591a
401-1588,Comber Primary School,Controlled,355.0,BT235BX,54.553579,-5.741611,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,239,126,78,188.4144368141677,221,0-4,130-134 (37.2%),Comber Baptist Church: <1/month<br>Comber Free Presbyterian: <1/month<br>Comber Methodist: <1/month<br>Comber Non – Subscribing Presbyterian Church: <1/month<br>First Comber Presbyterian Church: <1/month<br>Jim Patterson Ministries: <1/month<br>Scrabo Hall Church Ards: <1/month<br>Second Comber Presbyterian Church: <1/month<br>St Mary's C.O.I.: <1/month<br>Youth For Christ: <1/month,118,0.3323943661971831,117-120 (33.2%),210.61345940420276,35.0,Zero,37.2%,https://www.whatdotheyknow.com/r/7d0c9c73-4511-4eee-a7fe-4a3c873c8afb
401-1606,Gilnahirk Primary School,Controlled,411.0,BT57QQ,54.58328,-5.839252,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,222,96,100,202.73134932713293,257,14,140 (34.1%),Braniel Community Church (C of I): <1/month<br>Child Evangelism Fellowship: <1/month<br>Eastpoint Church (Tullycarnet) - Non-Denominational: <1/month<br>Gilnahirk Baptist Church: <1/month<br>Gilnahirk Presbyterian Church: <1/month<br>Knock Presbyterian Church: <1/month<br>St Dorothea's Parish Church (C of I): <1/month<br>Tullycarnet Church (C of I): <1/month,95,0.2311435523114355,95 (23.1%),203.0954314796301,27.0,5 or fewer,34.1%,https://www.whatdotheyknow.com/r/53daaa66-d2c0-4890-8f15-6381627ab664
401-1608,Anahilt Primary School,Controlled,139.0,BT266BP,54.436158,-5.995735,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,169,35,149,117.89826122551597,54-58,0-4,81 (58.3%),"Church of Ireland, Anahilt: <1/month<br>Loughaghery Presbyterian Church: <1/month",16,0.1151079136690647,16 (11.5%),147.0779366201986,7.0,5 or fewer,58.3%,https://www.whatdotheyknow.com/r/792f09ed-f14d-4550-9845-9ed34ae14ee9
401-1619,Dromara Primary School,Controlled,177.0,BT252BL,54.381024,-6.017972,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,207,75,116,133.04134695650072,93,13,71 (40.1%),"2nd Dromara Presbyterian Church: <1/month<br>Ballynahinch Free Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Hope for Youth Ministries: <1/month<br>St John's Church of Ireland, Dromara: <1/month",59,0.3333333333333333,59 (33.3%),167.3158590881579,16.0,Zero,40.1%,https://www.whatdotheyknow.com/r/863f13c7-b72b-4fce-9455-7c2bd9743277
401-1631,Holywood Primary School,Controlled,441.0,BT189DL,54.639408,-5.832077,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,227,103,95,210.0,209,17,215 (48.8%),"Bangor Road Presbyterian Church, Holywood: <1/month<br>Christian Fellowship Church (CFC): <1/month<br>Holywood Baptist Church: <1/month<br>Holywood Methodist Church: <1/month<br>St Philip & St. James’ Church, Holywood: <1/month",183,0.4149659863945578,183 (41.5%),218.2128820180196,15.0,12,48.8%,https://www.whatdotheyknow.com/r/5ca1c61d-daad-4b8c-bd54-18c6de0006b6
401-1632,Cregagh Primary School,Controlled,159.0,BT60FL,54.575815,-5.902118,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,170,36,148,126.09520212918493,96,17,46 (28.9%),Knockbreda Methodist: <1/month<br>Mount Merrion Parish Church: <1/month<br>Scripture Union: <1/month<br>St. Andrew's Presbyterian: <1/month<br>St. Bernard's RC Church: <1/month,35,0.220125786163522,35 (22.0%),137.09978826660685,16.0,5 or fewer,28.9%,https://www.whatdotheyknow.com/r/117d3024-cfad-43f7-8e07-4eda812bd419
401-1645,Crawfordsburn Primary School,Controlled,207.0,BT191JA,54.657216,-5.725294,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,201,69,121,143.87494569938158,88-92,0-4,115 (55.6%),Ballygilbert Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>Store House: <1/month<br>West Church Bangor: <1/month,94,0.4541062801932367,94 (45.4%),172.81589975674484,11.0,5 or fewer,55.6%,https://www.whatdotheyknow.com/r/010d71fa-5cbc-4975-841c-94f3e7f83735
401-1646,"Victoria PS, Newtownards",Controlled,457.0,BT237DD,54.594511,-5.688976,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,249,217,36,213.7755832643195,267,13,177 (38.7%),1st Ards Presbyterian: 1-3/month<br>Crown Jesus Ministries: 1-3/month<br>Greenwell Street Presbyterian: 1-3/month<br>Regent Street Methodist: 1-3/month<br>Scrabo Hall: 1-3/month<br>Scripture Union: 1-3/month,146,0.3194748358862144,146 (31.9%),256.6099907596483,61.0,Zero,38.7%,https://www.whatdotheyknow.com/r/631ed0e7-0262-46ab-a4aa-c6da0e1fd280
401-1650,Ballyholme Primary School,Controlled,628.0,BT205RG,54.663737,-5.638807,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,251,163,55,250.59928172283333,238,43,347 (55.3%),"Ballyholme Presbyterian Church, Bangor: <1/month<br>Baptist Youth: <1/month<br>City Church, Bangor: <1/month<br>Hamilton Road Baptist Church, Bangor: <1/month<br>Hamilton Road Presbyterian Church, Bangor: <1/month<br>Scripture Union: <1/month<br>St. Columbanus Parish Church, Bangor: <1/month<br>Trinity Presbyterian Church, Bangor: <1/month",225,0.35828025477707,225 (35.8%),272.2666989581952,25.0,5 or fewer,55.3%,https://www.whatdotheyknow.com/r/3265e79f-5edc-49cf-8fc7-492c8a1616bf
401-1654,Donaghadee Primary School,Controlled,439.0,BT210BD,54.63977,-5.538089,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,253,181,45,209.52326839756964,160,14,265 (60.4%),Baptist Youth: <1/month<br>Cardy Hall: <1/month<br>Donaghadee Methodist: <1/month<br>Donaghadeechurch of Ireland: <1/month<br>First Donaghadee Presbyterian Church: <1/month<br>Free Presbyterian Mission Board: <1/month<br>Other Christian Charities: <1/month<br>Play It By Ear: <1/month<br>Scrabo Hall: <1/month<br>Shore Street Presbyterian Church: <1/month,215,0.489749430523918,212-218 (49.0%),253.94433017027268,31.0,5 or fewer,60.4%,https://www.whatdotheyknow.com/r/f89ae33f-6c28-4438-be03-01382b292500
401-1657,Lisnasharragh Primary School,Controlled,380.0,BT69LS,54.573232,-5.886924,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,226,102,96,194.93588689617928,230,17,133 (35.0%),Child Evangelism Fellowship: <1/month<br>Glenburn Methodist: <1/month<br>Gransha Presbyterian: <1/month<br>Made for More: <1/month<br>New Testament Pentecostal: <1/month<br>Other Christian Charities: <1/month<br>Scripture Union: <1/month<br>St Finian's Parish Church: <1/month<br>Willowfield Parish: <1/month,101,0.2657894736842105,101 (26.6%),202.75596545393176,28.0,5 or fewer,35.0%,https://www.whatdotheyknow.com/r/ba2ec598-08f6-48a1-9cea-eca345b8a96a
401-1670,Clandeboye Primary School,Controlled,300.0,BT203JW,54.651943,-5.68223,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,238,124,80,173.20508075688775,148,6,146 (48.7%),Bangor Community Church: twice<br>Bangor Elim: 4 or 5 visits<br>Cardy Gospel Hall: 4 or 5 visits<br>Comber Free Presbyterian: termly<br>Evangelical Presbyterian: once<br>St Andrew's Presbyterian: 8 visits,126,0.42,126 (42.0%),208.3928249678221,22.0,5 or fewer,48.7%,https://www.whatdotheyknow.com/r/ec4de923-4044-4c1b-ae8a-9b7e7e41321e
401-1674,Knockbreda Primary School,Controlled,129.0,BT60JJ,54.567645,-5.903512,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,213,83,109,113.57816691600549,74,13,42 (32.6%),Child Evangelism Fellowship: <1/month<br>Crown Jesus Ministries: <1/month<br>Knockbreda Methodist: 1-3/month<br>Scripture Union: <1/month<br>St Andrews Presbyterian: 1-3/month<br>St Johns Presbyterian: 1-3/month,36,0.2790697674418604,36 (27.9%),167.43956852588838,40.0,Zero,32.6%,https://www.whatdotheyknow.com/r/689d26bd-badf-410f-b902-966acd07b86a
401-1681,Millisle Primary School,Controlled,221.0,BT222DD,54.606886,-5.530788,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,185,51,136,148.66068747318505,122,0-4,95-99 (43.9%),"Baptist Youth: <1/month<br>Millisle and Ballycopeland Presbyterian Church: <1/month<br>St. Patricks C.O.I., Millisle: <1/month",81,0.3665158371040724,78-85 (36.7%),159.34930708451145,8.0,5 or fewer,43.9%,https://www.whatdotheyknow.com/r/5ddb1dbf-4f49-456f-b869-31a38c197576
401-1683,Braniel Primary School,Controlled,436.0,BT57JU,54.578406,-5.861274,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,120,120,120,208.80613017821105,131-135,0-4,301 (69.0%),DID NOT RESPOND TO SURVEY,262,0.6009174311926605,262 (60.1%),200.0,,,69.0%,https://www.whatdotheyknow.com/r/3e750b4d-57db-4e42-b4e3-42d269f6983f
401-1698,Newcastle Primary School,Controlled,221.0,BT330AS,54.215296,-5.890331,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,248,152,62,148.66068747318505,77,47,97 (43.9%),"Child Evangelism Fellowship: monthly<br>Church of Ireland, Castlewellan: <1/month<br>Free Presbyterian Kids: monthly<br>Hope for Youth Ministries: <1/month<br>Newcastle Baptist Church: <1/month<br>Newcastle Methodist Church: <1/month<br>Newcastle Presbyterian Church: <1/month<br>Shimna Gospel Hall: <1/month<br>St John's Church of Ireland, Newcastle: <1/month",69,0.3122171945701357,69 (31.2%),215.492214620457,41.0,5 or fewer,43.9%,https://www.whatdotheyknow.com/r/cdd8d4be-d30b-48b4-81ba-744059b2a170
401-1699,Moneyrea Primary School,Controlled,256.0,BT236BB,54.53365,-5.827986,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,212,82,110,160.0,127,0-4,125-129 (49.6%),Granshaw Family Church: 1-3/month<br>Moneyreagh Community Church: 1-3/month<br>Moneyreagh Ns Church: <1/month,77,0.30078125,73-82 (30.1%),188.45221025100977,24.0,5 or fewer,49.6%,https://www.whatdotheyknow.com/r/d2b3cd33-2ff3-425c-ad5d-907c0cf3d317
401-3013,Belvoir Park Primary School,Controlled,261.0,BT87DL,54.551432,-5.930961,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,239,125,79,161.55494421403512,114,26,121 (46.4%),"Belvoir Parish Church, Belfast: <1/month<br>Belvoir Presbyterian Church, Belfast: <1/month<br>Christian Fellowship Church (CFC): 1-3/month<br>Knockbreda Baptist Church, Belfast: <1/month<br>Scripture Union: 1-3/month",96,0.367816091954023,96 (36.8%),205.14755898689373,30.0,5 or fewer,46.4%,https://www.whatdotheyknow.com/r/ddba4881-fc05-4989-9e0c-1edae93cbfcb
401-3023,Bloomfield Primary School,Controlled,445.0,BT197PN,54.642995,-5.657145,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,253,182,45,210.95023109728987,132,8,305 (68.5%),Bangor Community Church: <1/month<br>Bangor West Presbyterian Church: <1/month<br>Elim Church: <1/month<br>Hamilton Road Baptist: <1/month<br>Lisnabreen Church: <1/month<br>Scripture Union: <1/month,286,0.6426966292134831,286 (64.3%),259.32655087803136,20.0,15,68.5%,https://www.whatdotheyknow.com/r/bd2c0708-c178-494d-ac44-6442144cc599
401-3024,Cairnshill Primary School,Controlled,546.0,BT86RT,54.552642,-5.902086,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,236,119,84,233.66642891095847,241,45,260 (47.6%),Cairnshill Methodist Belfast: <1/month<br>Holy Trinity Church Drumbo: <1/month<br>Knockbreda Parish Belfast: <1/month<br>Saintfield Road Presbyterian Church Belfast: <1/month<br>Scripture Union: <1/month,219,0.4010989010989011,219 (40.1%),236.34848674047828,17.0,5 or fewer,47.6%,https://www.whatdotheyknow.com/r/03d92959-c5bd-443f-8f3d-625906781e75
401-3043,Leadhill Primary School,Controlled,159.0,BT69RD,54.57455,-5.873431,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,199,66,123,126.09520212918493,68,10,81 (50.9%),Baptist Youth: <1/month<br>Castlereagh Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Mountpottinger Presbyterian Church: <1/month<br>Scripture Union: <1/month,63,0.3962264150943396,63 (39.6%),162.6513521353197,13.0,5 or fewer,50.9%,https://www.whatdotheyknow.com/r/49047adc-cbc5-46ec-afb2-5a8e93566173
401-3044,Carryduff Primary School,Controlled,177.0,BT88EE,54.514043,-5.883604,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,187,53,134,133.04134695650072,99,13,65 (36.7%),Carryduff Baptist Church: <1/month<br>Carryduff Community Church: <1/month<br>Carryduff Presbyterian Chruch: <1/month<br>St Ignatius Parish Church: <1/month,49,0.2768361581920904,46-52 (27.7%),153.40797768997334,14.0,5 or fewer,36.7%,https://www.whatdotheyknow.com/r/4ec6b3e4-ace5-4833-a4b7-abbdaaff1597
401-3045,Grange Park Primary School,Controlled,394.0,BT203QG,54.658678,-5.687224,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,235,118,84,198.4943324127921,173,17,204 (51.8%),Bangor Elim: <1/month<br>Hamilton Road Baptist: <1/month<br>Trinity Presbyterian: <1/month<br>West Church Bangor: monthly,160,0.4060913705583756,160 (40.6%),221.91021066511536,19.0,Zero,51.8%,https://www.whatdotheyknow.com/r/7259b4a4-1df1-48c2-8ddb-a142888d3988
401-3046,Alexander Dickson Primary School,Controlled,88.0,BT235TN,54.502587,-5.789307,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,150,18,160,93.8083151964686,73,0-4,11-15 (14.8%),Ballygowan Free Presbyterian Church: termly<br>Ballygowan Presbyterian Church: monthly<br>First Comber Presbyterian Church: once<br>Moneyrea Community Church: termly,10,0.1136363636363636,6-15 (11.4%),118.1816307401944,16.0,5 or fewer,14.8%,https://www.whatdotheyknow.com/r/2e0e82f2-ba08-469e-8439-737e7e61aac1
401-3305,Harmony Hill Primary School,Controlled,642.0,BT274ES,54.524155,-6.034413,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,241,130,76,253.3771891863985,284,43,315 (49.1%),Harmony Hill Presbyterian: twice<br>Made for More: twice<br>Other Christian Charities: once<br>Scripture Union: twice<br>St Columba's Church of Ireland: twice per term<br>St Patrick's Church of Ireland: once,245,0.381619937694704,245 (38.2%),253.8570972741316,14.0,30,49.1%,https://www.whatdotheyknow.com/r/bbd9d5b7-a0bc-4343-8497-c81e79a469a1
401-3334,Knockmore Primary School,Controlled,244.0,BT281SA,54.508933,-6.076217,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,240,129,77,156.20499351813308,85,39,120 (49.2%),Child Evangelism Fellowship: c. 15 visits<br>Scripture Union: twice<br>St Columba's Lisburn: <1/month,100,0.4098360655737705,100 (41.0%),203.9748350861217,21.0,5 or fewer,49.2%,https://www.whatdotheyknow.com/r/dcf4783e-7849-4c39-8afe-8b10b673ffd5
401-6002,Kilcooley Primary School,Controlled,212.0,BT191QS,54.64734,-5.698591,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,229,107,92,145.60219778561037,93,0,119 (56.1%),"1st Bangor Presbyterian: <1/month<br>Bangor Free Presbyterian: <1/month<br>Church of Ireland, Bangor: <1/month<br>Hamilton Road Presbyterian: <1/month<br>Kilcooley West Church, Bangor: <1/month<br>Scripture Union: <1/month",111,0.5235849056603774,110-113 (52.4%),189.40693785087552,21.0,Zero,56.1%,https://www.whatdotheyknow.com/r/4dede5b8-2a1b-43d1-a44c-be4026769aaa
401-6004,Londonderry Primary School,Controlled,404.0,BT234EY,54.601296,-5.701283,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,228,106,93,200.9975124224178,200,6,198 (49.0%),"Glen Community Church, Church of Ireland: <1/month<br>Newtownards First Presbyterian: <1/month<br>Regent Street Methodist Church: <1/month<br>Scrabo Hall: <1/month<br>St Mark's Church of Ireland: <1/month",164,0.4059405940594059,164 (40.6%),215.011015808562,18.0,5 or fewer,49.0%,https://www.whatdotheyknow.com/r/25aef45d-4c8e-42e5-af70-4a32c4107f4c
401-6020,Carrowdore Primary School,Controlled,166.0,BT222JJ,54.577901,-5.553502,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,208,77,115,128.84098726725125,79-83,0-4,83 (50.0%),Baptist Youth: <1/month<br>Cardy Gospel Hall: <1/month<br>Carrowdore & Ballyfrenis Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Christ Church Carrowdore: <1/month,68,0.4096385542168674,68 (41.0%),168.34728228617473,15.0,Zero,50.0%,https://www.whatdotheyknow.com/r/f175590f-f439-40c3-8a43-b15ff41977b7
401-6067,Rathmore Primary School,Controlled,583.0,BT191DJ,54.65743,-5.70329,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,245,139,70,241.4539293529928,302,17,264 (45.3%),Ballygilbert Presbyterian: <1/month<br>Bangor Elim: <1/month<br>Bangor Methodist Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Hamilton Road Presbyterian Church: <1/month<br>Other Christian Charities: <1/month<br>Stand By Me: <1/month<br>West Church Presbyterian Church: <1/month,214,0.3670668953687822,214 (36.7%),245.82452041885156,26.0,5 or fewer,45.3%,https://www.whatdotheyknow.com/r/8f5d67f6-5fe5-4be8-88f9-e790f107c05a
401-6083,West Winds Primary School and Nursery Unit,Controlled,179.0,BT234RQ,54.580548,-5.701756,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,208,77,115,133.79088160259653,105,0-4,70-74 (40.2%),Love for Life: <1/month<br>Newtownards Methodist Church: <1/month<br>Scrabo Hall: <1/month<br>Scrabo Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>West Winds Community Church: <1/month,65,0.3631284916201117,62-69 (36.3%),166.35080540990398,20.0,Zero,40.2%,https://www.whatdotheyknow.com/r/8a86ff17-6687-4feb-90c9-4b13304dddce
401-6104,Moira Primary School,Controlled,416.0,BT670LJ,54.48574,-6.241099,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,200,68,122,203.9607805437114,213,46,157 (37.7%),Moira Presbyterian - Moira: <1/month<br>St John's Church of Ireland – Moira: <1/month,123,0.2956730769230769,122-125 (29.6%),187.007143924228,7.0,5 or fewer,37.7%,https://www.whatdotheyknow.com/r/de600b4c-252a-45e5-9495-50e6cef846b4
401-6111,Towerview Primary School,Controlled,456.0,BT196AZ,54.662489,-5.621875,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,235,118,84,213.5415650406262,232,8,216 (47.4%),Ballyholme Presbyterian: <1/month<br>Bangor Elim: <1/month<br>Free Methodist: <1/month<br>Groomsport Parish: <1/month<br>Scripture Union: <1/month,193,0.4232456140350877,193 (42.3%),224.49714131597244,17.0,Zero,47.4%,https://www.whatdotheyknow.com/r/cb261daa-eee7-434a-b67c-795bfd963ee8
